"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
704             , 0.0198892599925
706             , 0.0210331268342
708             , 0.0216603901664
710             , 0.0202596959655
712             , 0.0212969428671
714             , 0.0209920213153
716             , 0.0214773626003
718             , 0.0211242094045
720             , 0.0211075808434
722             , 0.0193615959177
724             , 0.0228285642834
726             , 0.0223403813883
728             , 0.0200980884594
730             , 0.020789042152
732             , 0.0205535508032
734             , 0.0222167923875
736             , 0.0226569265491
738             , 0.0205494802068
740             , 0.0218543983422
742             , 0.0224171309824
744             , 0.0219186791963
746             , 0.0217661884393
748             , 0.0227264548624
750             , 0.0224251648706
752             , 0.0223853887265
754             , 0.0236516033281
756             , 0.0237262143638
758             , 0.023593946419
760             , 0.0230128220303
762             , 0.0225573502105
764             , 0.0255273018219
766             , 0.0239480193627
768             , 0.0233890798774
770             , 0.024172163235
772             , 0.025562091921
774             , 0.0264569026464
776             , 0.0273104503439
778             , 0.0268129683517
780             , 0.0251633923693
782             , 0.0262927819887
784             , 0.0255375264211
786             , 0.0253368436363
788             , 0.0261029034937
790             , 0.0263412126358
792             , 0.0265884666736
794             , 0.0268434846807
796             , 0.0273283403885
798             , 0.0273324866164
800             , 0.0266263668346
802             , 0.0271927436765
804             , 0.0281471366302
806             , 0.0274864324293
808             , 0.027109635511
810             , 0.02889171107
812             , 0.0279211560025
814             , 0.028433861337
816             , 0.0290951193787
818             , 0.0299805907651
820             , 0.0308614997009
822             , 0.0293266660364
824             , 0.0313789475647
826             , 0.0296214974004
828             , 0.0306495100985
830             , 0.0291521511331
832             , 0.0315491547761
834             , 0.0308382723927
836             , 0.0315441972109
838             , 0.0306512085856
840             , 0.0306671137874
842             , 0.0311071431596
844             , 0.0306748071969
846             , 0.0314931128019
848             , 0.0315316968079
850             , 0.0309648897476
852             , 0.0312685114233
854             , 0.0330739676504
856             , 0.0319692684181
858             , 0.0317712278131
860             , 0.0327306235904
862             , 0.0330375918368
864             , 0.033730786207
866             , 0.0322010404865
868             , 0.0330768541063
870             , 0.0317814604028
872             , 0.034104096069
874             , 0.0334242674258
876             , 0.0344638422365
878             , 0.0342566207828
880             , 0.0342647128041
882             , 0.0339052194952
884             , 0.0352535071302
886             , 0.0348817750681
888             , 0.0317449487174
890             , 0.0365917575179
892             , 0.0398496368703
894             , 0.0327749297877
896             , 0.0335412431748
898             , 0.0356076104605
900             , 0.0364494339169
902             , 0.0354953262583
904             , 0.0356039075072
906             , 0.0350061808215
908             , 0.0353184329237
910             , 0.0355690684766
912             , 0.0360130298947
914             , 0.037098051215
916             , 0.0368865130351
918             , 0.0363588807321
920             , 0.0377095882962
922             , 0.034504036281
924             , 0.036613286883
926             , 0.0368158247326
928             , 0.0384888885845
930             , 0.0346747686272
932             , 0.0383049481801
934             , 0.0389446196705
936             , 0.0376424201625
938             , 0.0369177044632
940             , 0.0383833639555
942             , 0.03809419575
944             , 0.0376869012374
946             , 0.0395905473025
948             , 0.0414102158061
950             , 0.0397657833835
