"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
650             , 1.91663789703
652             , 1.93111225829
654             , 1.91776929662
656             , 1.9202535189
658             , 1.93692573659
660             , 1.93697718832
662             , 1.91981282287
664             , 1.90430068078
666             , 1.89168478327
668             , 1.88287306154
670             , 1.86638976655
672             , 1.84964852413
674             , 1.828009737
676             , 1.80946979537
678             , 1.79113207299
680             , 1.78125258674
682             , 1.76915548514
684             , 1.74722855134
686             , 1.75297771935
688             , 1.74052637154
690             , 1.72032348486
692             , 1.71229160156
694             , 1.70538177583
696             , 1.69332076602
698             , 1.66979685361
700             , 1.66149831093
702             , 1.65881364636
704             , 1.64401967231
706             , 1.63825194713
708             , 1.62826062929
710             , 1.61866785539
712             , 1.613171001
714             , 1.60733949704
716             , 1.5953330998
718             , 1.58875304317
720             , 1.5794227941
722             , 1.5745331345
724             , 1.57232889676
726             , 1.56961191776
728             , 1.56150347304
730             , 1.55512163198
732             , 1.54504335109
734             , 1.54797881152
736             , 1.55233553585
738             , 1.54784636224
740             , 1.54135089037
742             , 1.53233126202
744             , 1.52713362659
746             , 1.51976576739
748             , 1.52654273742
750             , 1.52012735808
752             , 1.52156074531
754             , 1.51762104885
756             , 1.52931390205
758             , 1.51563592539
760             , 1.50758529686
762             , 1.49997753642
764             , 1.50192595916
766             , 1.49907663635
768             , 1.49803266477
770             , 1.50135945783
772             , 1.49980236432
774             , 1.49809252442
776             , 1.4967281222
778             , 1.49453886453
780             , 1.49728422587
782             , 1.48973451534
784             , 1.488112167
786             , 1.47769980013
788             , 1.47794134215
790             , 1.47195769317
792             , 1.47619885796
794             , 1.46791263563
796             , 1.46577537186
798             , 1.46705936771
800             , 1.46528839006
802             , 1.46010403112
804             , 1.45852642814
806             , 1.45095869665
808             , 1.44259771375
810             , 1.45026396229
812             , 1.43939941446
814             , 1.43883102337
816             , 1.44310285007
818             , 1.43185764508
820             , 1.43158041726
822             , 1.42742836768
824             , 1.41376239013
826             , 1.40393759463
828             , 1.40634211838
830             , 1.39859927896
832             , 1.41184449375
834             , 1.40069234061
836             , 1.39755928641
838             , 1.39885704645
840             , 1.38363894428
842             , 1.37975001382
844             , 1.38425283932
846             , 1.37303835137
848             , 1.37340818731
850             , 1.36047885905
852             , 1.3477028465
854             , 1.35409277285
856             , 1.35292705553
858             , 1.35148879828
860             , 1.3398601903
862             , 1.33548382603
864             , 1.3414758302
866             , 1.30607668611
868             , 1.3271803172
870             , 1.31575573183
872             , 1.30853763017
874             , 1.30582984006
876             , 1.30705901331
878             , 1.28522339205
880             , 1.27925193024
882             , 1.27527323641
884             , 1.28485760055
886             , 1.27920372047
888             , 1.26242894164
890             , 1.27153365366
892             , 1.27650881035
894             , 1.26825255602
896             , 1.26293670682
898             , 1.26045265213
900             , 1.24009082011
902             , 1.23011887857
904             , 1.22171170396
906             , 1.2198738406
908             , 1.21853222586
910             , 1.20859699439
912             , 1.20308538908
914             , 1.18401616983
916             , 1.17328063777
918             , 1.17325742081
920             , 1.17595500071
922             , 1.16472332548
924             , 1.16341704052
926             , 1.16048170046
928             , 1.15447554902
930             , 1.1375874235
932             , 1.14451630714
934             , 1.1383883539
936             , 1.14899716421
938             , 1.15075229908
940             , 1.15680460281
942             , 1.14789691524
944             , 1.12673308388
946             , 1.13401112215
948             , 1.12595299176
950             , 1.12979249663

