lambda , cervene         , modre           , tm_cervene      , zelene         , zlute
820    , 0.0404063026409 , 0.319506908299  , 0.0308614997009 , 1.43158041726  , 0.0399088333478
822    , 0.0393479213896 , 0.317348961391  , 0.0293266660364 , 1.42742836768  , 0.0381987223356
824    , 0.039608864674  , 0.317312416066  , 0.0313789475647 , 1.41376239013  , 0.0406848651736
826    , 0.0397244698494 , 0.315921597477  , 0.0296214974004 , 1.40393759463  , 0.0382037323439
828    , 0.0402965094912 , 0.316255311456  , 0.0306495100985 , 1.40634211838  , 0.0398236887706
830    , 0.0400643453694 , 0.312602103409  , 0.0291521511331 , 1.39859927896  , 0.0391684627769
832    , 0.0409343325674 , 0.314040398855  , 0.0315491547761 , 1.41184449375  , 0.0401927057646
834    , 0.0396357526044 , 0.311271860029  , 0.0308382723927 , 1.40069234061  , 0.0392748790147
836    , 0.0413001665911 , 0.310923731661  , 0.0315441972109 , 1.39755928641  , 0.0398434130447
838    , 0.0414259961159 , 0.309644428471  , 0.0306512085856 , 1.39885704645  , 0.0406230319921
840    , 0.041995981425  , 0.307524984898  , 0.0306671137874 , 1.38363894428  , 0.0403677383561
842    , 0.042044733918  , 0.307960318466  , 0.0311071431596 , 1.37975001382  , 0.0400694722072
844    , 0.0418646734928 , 0.30649598043   , 0.0306748071969 , 1.38425283932  , 0.039778430274
846    , 0.0423318794462 , 0.305182215114  , 0.0314931128019 , 1.37303835137  , 0.0413953707584
848    , 0.041994586875  , 0.303783450531  , 0.0315316968079 , 1.37340818731  , 0.0417268078645
850    , 0.0413176824664 , 0.303081974871  , 0.0309648897476 , 1.36047885905  , 0.0409771809213
852    , 0.0427578539545 , 0.30201532689   , 0.0312685114233 , 1.3477028465   , 0.0409116520621
854    , 0.0431761559895 , 0.300892412394  , 0.0330739676504 , 1.35409277285  , 0.0430249182821
856    , 0.0431568863877 , 0.298677762543  , 0.0319692684181 , 1.35292705553  , 0.041781811011
858    , 0.0429588455467 , 0.298757170204  , 0.0317712278131 , 1.35148879828  , 0.0420448947952
860    , 0.0443324684382 , 0.297262721594  , 0.0327306235904 , 1.3398601903   , 0.0431978018312
862    , 0.043368739513  , 0.296308917179  , 0.0330375918368 , 1.33548382603  , 0.0444583507022
864    , 0.0444624591893 , 0.29635602864   , 0.033730786207  , 1.3414758302   , 0.0453074724421
866    , 0.042195928757  , 0.291103261515  , 0.0322010404865 , 1.30607668611  , 0.0428737904355
868    , 0.0450620143435 , 0.293233385756  , 0.0330768541063 , 1.3271803172   , 0.0463253671769
870    , 0.0436012653168 , 0.291520776477  , 0.0317814604028 , 1.31575573183  , 0.0448355597823
872    , 0.0453237787875 , 0.290391601065  , 0.034104096069  , 1.30853763017  , 0.046210125083
874    , 0.0444203589528 , 0.287848706349  , 0.0334242674258 , 1.30582984006  , 0.0444217330562
876    , 0.0471424483202 , 0.287279940836  , 0.0344638422365 , 1.30705901331  , 0.0465561694969
878    , 0.0453478190022 , 0.286244288521  , 0.0342566207828 , 1.28522339205  , 0.0456452774308
880    , 0.0470674797735 , 0.284819521907  , 0.0342647128041 , 1.27925193024  , 0.0470125789449
882    , 0.0451538697788 , 0.282038549405  , 0.0339052194952 , 1.27527323641  , 0.0464121809726
